"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"01001499999","2021-01-01T14:50:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.71","32","36","","","","","87","","","","6.15","","110","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046METAR ENSO 011350Z 11005KT CAVOK 02/M00 Q1006=","","","","","","","","","",""
"01001499999","2021-01-01T15:20:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.71","30","36","","","","","81","","","","6.15","","110","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046METAR ENSO 011420Z 11005KT CAVOK 02/M01 Q1006=","","","","","","","","","",""
"01001499999","2021-01-01T15:50:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.74","30","36","","","","","81","","","","6.15","","100","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046METAR ENSO 011450Z 10004KT CAVOK 02/M01 Q1007=","","","","","","","","","",""
"01001499999","2021-01-01T16:20:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.74","32","34","","","","","93","","","","6.15","","080","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046METAR ENSO 011520Z 08003KT CAVOK 01/M00 Q1007=","","","","","","","","","",""
"01001499999","2021-01-01T16:50:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.74","32","36","","","","","87","","","","6.15","","090","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046METAR ENSO 011550Z 09003KT CAVOK 02/M00 Q1007=","","","","","","","","","",""
"01001499999","2021-01-01T17:50:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.74","28","34","","","","","81","","","","6.15","","120","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046METAR ENSO 011650Z 12003KT CAVOK 01/M02 Q1007=","","","","","","","","","",""
"01001499999","2021-01-01T18:20:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.77","28","34","","","","","81","","","","6.15","","080","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046METAR ENSO 011720Z 08005KT CAVOK 01/M02 Q1008=","","","","","","","","","",""
"01001499999","2021-01-01T18:50:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.77","28","34","","","","","81","","","","6.15","","120","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046METAR ENSO 011750Z 12006KT CAVOK 01/M02 Q1008=","","","","","","","","","",""
"01001499999","2021-01-01T19:20:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.77","","34","","","","","","","","","6.15","","120","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET047METAR ENSO 011820Z 12007KT CAVOK 01/M021 Q1008=","","","","","","","","","",""
"01001499999","2021-01-01T19:50:00","59.791925","5.34085","48.76","SORSTOKKEN, NO","FM-15","4","29.77","30","34","","","","","87","","","","6.15","","140","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET046METAR ENSO 011850Z 14007KT CAVOK 01/M01 Q1008=","","","","","","","","","",""
